"No.","Time","Source","Destination","Protocol","Length","Info"
"192","935.715069","10.100.0.11","20.100.0.11","GTPv2","60","Downlink Data Notification Acknowledgement"
"193","936.599324","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"194","936.599441","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"195","936.599828","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"196","936.643710","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"197","936.643846","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"198","936.704817","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"199","937.719763","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"200","937.719571","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"201","937.754205","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"202","937.754315","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"203","948.698212","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"204","948.698057","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"205","948.753945","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"206","948.754049","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"207","967.344916","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"208","967.344640","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"209","967.344842","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"210","967.349198","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"211","967.353846","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"212","1003.170403","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"213","1003.170007","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"214","1003.170117","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"215","1003.214339","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"216","1003.214537","10.100.0.11","20.100.0.11","GTPv2","109","Modify Bearer Request"
"217","1003.254530","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"218","1004.297304","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"219","1004.297485","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"220","1004.304374","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"221","1004.304513","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"222","1015.265849","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"223","1015.265691","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"224","1015.304725","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"225","1015.304863","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
