"No.","Time","Source","Destination","Protocol","Length","Info"
"1382","12068.006880","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"1383","12152.225099","20.100.0.1","10.100.0.1","S1AP","94","UEContextReleaseRequest [RadioNetwork-cause=user-inactivity]"
"1384","12152.225243","10.100.0.11","20.100.0.11","GTPv2","54","Release Access Bearers Request"
"1385","12152.225315","10.100.0.1","20.100.0.1","S1AP","90","UEContextReleaseCommand [RadioNetwork-cause=user-inactivity]"
"1386","12152.229117","20.100.0.1","10.100.0.1","S1AP","86","UEContextReleaseComplete"
"1387","12152.236829","20.100.0.11","10.100.0.11","GTPv2","60","Release Access Bearers Response"
"1388","12158.606854","20.100.0.11","10.100.0.11","GTPv2","71","Downlink Data Notification"
"1389","12158.607047","10.100.0.11","20.100.0.11","GTPv2","60","Downlink Data Notification Acknowledgement"
"1390","12158.607118","10.100.0.1","20.100.0.1","S1AP","114","Paging"
"1391","12159.629389","20.100.0.1","10.100.0.1","S1AP/NAS-EPS","126","InitialUEMessage, Service request"
"1392","12159.629535","20.100.0.23","10.100.0.23","S1AP/NAS-EPS","78","UplinkNASTransport, Service request"
"1393","12159.629839","10.100.0.1","20.100.0.1","S1AP","1370","InitialContextSetupRequest, UECapabilityInformation[Malformed Packet]"
"1394","12159.673903","20.100.0.1","10.100.0.1","S1AP","106","InitialContextSetupResponse"
"1395","12159.674106","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"1396","12159.706942","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"1397","12160.757459","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"1398","12160.757602","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"1399","12160.807360","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"1400","12160.807473","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
"1401","12171.726433","10.100.0.11","20.100.0.11","GTPv2","104","Modify Bearer Request"
"1402","12171.726258","20.100.0.1","10.100.0.1","S1AP","106","E-RABModificationIndication"
"1403","12171.756729","20.100.0.11","10.100.0.11","GTPv2","93","Modify Bearer Response"
"1404","12171.756885","10.100.0.1","20.100.0.1","S1AP","98","E-RABModificationConfirm"
